orig,kr
サイドストーリー「過日の痕、明日への扉」で手に入ります,"사이드 스토리 「과거의 상처, 내일을 향한 문」에서 획득할 수 있습니다"

森の狩人,숲의 사냥꾼
獲得条件：「過日の痕、明日への扉」貢献度******達成,"획득조건：「과거의 상처, 내일을 향한 문」 공헌도 ****** 달성"

禍根克服,화근 극복
獲得条件：「過日の痕、明日への扉」ストーリーを*話までクリア,"획득조건：「과거의 상처, 내일을 향한 문」 스토리<br>*화를 클리어"

封印の射手,봉인의 사수

小さな守り人,작은 수호자
獲得条件：フリークエスト「キンギアナム討伐戦」をクリア,획득조건：프리 퀘스트 「킨기아눔 토벌전」을 클리어

忌まわしき者の再封印,불길한 자의 재봉인
獲得条件：フリークエスト「マルドゥーク討伐戦」をクリア,획득조건：프리 퀘스트 「마르두크 토벌전」을 클리어

姉への償い,언니에 대한 속죄
獲得条件：チャレンジクエスト「女戦士、決意の復讐」をクリア,"획득조건：챌린지 퀘스트 「여전사, 결의의 복수」를<br>클리어"

マルドゥークバスター,마르두크 버스터
獲得条件：フリークエスト「キンギアナム討伐戦」と「マルドゥーク討伐戦」を合計*回クリア,획득조건：프리 퀘스트 「킨기아눔 토벌전」과 「마르두크 토벌전」을 합계 *회 클리어

触れてはならぬ者を封ぜし者,건드려선 안될 자를 봉인한 자
獲得条件：「過日の痕、明日への扉」ストーリーをエンディングまでクリア,"획득조건：「과거의 상처, 내일을 향한 문」의 엔딩을 클리어"
狩りの達人,사냥의 달인
エルーン族友好大使,엘룬족 우호사절
獲得条件<br>「過日の痕、明日への扉」貢献度******達成,"획득조건<br>「과거의 상처, 내일을 향한 문」 공헌도 ****** 달성"
獲得条件<br>「過日の痕、明日への扉」貢献度*******達成,"획득조건<br>「과거의 상처, 내일을 향한 문」 공헌도 ******* 달성"
獲得条件<br>「過日の痕、明日への扉」ストーリーを*話までクリア,"획득조건<br>「과거의 상처, 내일을 향한 문」 스토리 *화를 클리어"
獲得条件<br>フリークエスト「キンギアナム討伐戦」をクリア,획득조건<br>프리 퀘스트 「킨기아눔 토벌전」을 클리어
獲得条件<br>フリークエスト「マルドゥーク討伐戦」をクリア,획득조건<br>프리 퀘스트 「마르두크 토벌전」을 클리어
獲得条件<br>チャレンジクエスト「女戦士、決意の復讐」をクリア,"획득조건<br>챌린지 퀘스트 「여전사, 결의의 복수」를 클리어"
マルドゥークスレイヤー,마르두크 슬레이어
マルドゥークジェノサイダー,마르두크 제노사이더
獲得条件<br>フリークエスト「キンギアナム討伐戦」と「マルドゥーク討伐戦」を合計*回クリア,획득조건<br>프리 퀘스트 「킨기아눔 토벌전」과 「마르두크 토벌전」을 합계 *회 클리어
獲得条件<br>フリークエスト「キンギアナム討伐戦」と「マルドゥーク討伐戦」を合計**回クリア,획득조건<br>프리 퀘스트 「킨기아눔 토벌전」과 「마르두크 토벌전」을 합계 **회 클리어
獲得条件<br>フリークエスト「キンギアナム討伐戦」と「マルドゥーク討伐戦」を合計***回クリア,획득조건<br>프리 퀘스트 「킨기아눔 토벌전」과 「마르두크 토벌전」을 합계 ***회 클리어
獲得条件<br>「過日の痕、明日への扉」ストーリーをエンディングまでクリア,"획득조건<br>「과거의 상처, 내일을 향한 문」의 엔딩을 클리어"

「魔ガ散ルトキ、彼ハ」へ,"「마가 흩어질 때, 그는」으로"
古の魔法の病に蝕まれたゼヘクは、病床にて「マギ」と名乗る謎の声を聴く。その声に導かれて辿りついた地で、彼は思いもよらぬ事件に巻き込まれるのであった。,고대의 마법에 의해 병에 침식당한 제헤크는 병상에서 자신을 「마기」 라고 소개한 수수께끼의 목소리를 듣는다. 그 목소리에 이끌려 도착한 곳에서 그는 뜻밖의 사건에 말려들고 만다.
サイドストーリー「魔ガ散ルトキ、彼ハ」で手に入ります,"사이드 스토리 「마가 흩어질 때, 그는」에서 획득할 수 있습니다"

初期症状,초기증상
獲得条件：「魔ガ散ルトキ、彼ハ」貢献度******達成,"획득조건：「마가 흩어질 때, 그는」 공헌도 ******<br>달성"

ブラザー,브라더
獲得条件：「魔ガ散ルトキ、彼ハ」ストーリーを*話までクリア,"획득조건：「마가 흩어질 때, 그는」 스토리 *화를<br>클리어"

約束の草原で,약속의 초원에서

俺の左手が疼く…！,나의 왼손이 욱신거린다…！
獲得条件：チャレンジクエスト『闇ニ堕チテ、獣トナル』をクリア,획득조건：챌린지 퀘스트 『어둠에 삼켜진 짐승이 되어』를 클리어

マギバスター,마기 버스터
獲得条件：フリークエスト「解カレシ封印」と「統合サレシ三位一体」を合計*回クリア,획득조건：프리 퀘스트「풀려버린 봉인」과 「통합된 삼위일체」을 합계 *회 클리어

特異点,특이점
獲得条件：フリークエスト「統合サレシ三位一体」をクリア,획득조건：프리 퀘스트 「통합된 삼위일체」를 클리어
溢れ出る魔力,넘쳐나는 마력
太陽王,태양왕
獲得条件<br>「魔ガ散ルトキ、彼ハ」貢献度******達成,"획득조건<br>「마가 흩어질 때, 그는」 공헌도 ****** 달성"
獲得条件<br>「魔ガ散ルトキ、彼ハ」貢献度*******達成,"획득조건<br>「마가 흩어질 때, 그는」 공헌도 ******* 달성"
獲得条件<br>「魔ガ散ルトキ、彼ハ」ストーリーを*話までクリア,"획득조건<br>「마가 흩어질 때, 그는」 스토리 *화를 클리어"
獲得条件<br>チャレンジクエスト『闇ニ堕チテ、獣トナル』をクリア,획득조건<br>챌린지 퀘스트 『어둠에 삼켜진 짐승이 되어』를 클리어
マギスレイヤー,마기 슬레이어
マギジェノサイダー,마기 제노사이더
獲得条件<br>フリークエスト「解カレシ封印」と「統合サレシ三位一体」を合計*回クリア,획득조건<br>프리 퀘스트 「풀려버린 봉인」과 「통합된 삼위일체」를 합계 *회 클리어
獲得条件<br>フリークエスト「解カレシ封印」と「統合サレシ三位一体」を合計**回クリア,획득조건<br>프리 퀘스트 「풀려버린 봉인」과 「통합된 삼위일체」를 합계 **회 클리어
獲得条件<br>フリークエスト「解カレシ封印」と「統合サレシ三位一体」を合計***回クリア,획득조건<br>프리 퀘스트 「풀려버린 봉인」과 「통합된 삼위일체」를 합계 ***회 클리어
獲得条件<br>フリークエスト「統合サレシ三位一体」をクリア,획득조건<br>프리 퀘스트 「통합된 삼위일체」를 클리어

「神境にて辿る跡」へ,「신의 경지에 도달한 흔적」로
古文書に記された神秘の島、ログノス島。伝説上のものとされていたその島がある日突然姿を現した。[플레이어]達は国から調査を命じられた民俗学者の青年と共に島の調査を始める。,"고문서에 기록된 신비의 섬, 로그노스 섬. 전설의 섬으로 여겨지던 그 섬이 어느 날 모습을 드러냈다. [플레이어]일행은 국가로부터 조사를 명령받은 민속학자 청년과 함께 섬을 조사한다."
サイドストーリー「神境にて辿る跡」で手に入ります,사이드 스토리 「신의 경지에 도달한 흔적」에서 획득할 수 있습니다

別に一番乗りしたかったわけじゃ……,제일 먼저 타고 싶었던거 아니거든……
獲得条件：古びた書物の破片を累計で***個入手,획득조건：낡은 책조각을 누계 ***개 획득

一番乗りしたかった……,제일 먼저 타고 싶었어다고……
獲得条件：ログノスの金印を累計で***個入手,획득조건：로그노스의 금도장을 누계 ***개 획득

古墳調査員,고분 조사원
獲得条件：「神境にて辿る跡」貢献度******達成,획득조건：「신의 경지에 도달한 흔적」 공헌도 ****** 달성

遺跡の記憶,유적의 기억
獲得条件：「神境にて辿る跡」イベントクエストを*話までクリア,획득조건：「신의 경지에 도달한 흔적」 이벤트<br>퀘스트 *화를 클리어

神話を覗く者,신화를 들여다 본 자

星の狩人,별의 사냥꾼
獲得条件：チャレンジクエスト「ここは力を合わせよう」をクリア,획득조건：챌린지 퀘스트 「여기선 힘을 합치자」를<br>클리어

風神・雷神バスター,풍신・뇌신 버스터
獲得条件：フリークエスト「風神・雷神討伐戦」を合計*回クリア,획득조건：프리 퀘스트 「풍신・뇌신 토벌전」을 합계 *회 클리어

金綺羅,금비단
獲得条件：フリークエスト「ゾウティ討伐戦」をクリア,획득조건：프리 퀘스트 「조우티 토벌전」을 클리어

疾風迅雷,질풍신뢰
獲得条件：フリークエスト「風神・雷神討伐戦」をクリア,획득조건：프리 퀘스트 「풍신・뇌신 토벌전」을 클리어
獲得条件<br>古びた書物の破片を累計で***個入手,획득조건<br>낡은 책조각을 누계 ***개 획득
獲得条件<br>ログノスの金印を累計で***個入手,획득조건<br>로그노스의 금도장을 누계 ***개 획득
くん……くん……,킁…… 킁……
グラブルで年越し,그랑블루에서 새해맞이
獲得条件<br>「神境にて辿る跡」貢献度******達成,획득조건<br>「신의 경지에 도달한 흔적」 공헌도 ****** 달성
獲得条件<br>「神境にて辿る跡」貢献度*******達成,획득조건<br>「신의 경지에 도달한 흔적」 공헌도 ******* 달성
獲得条件<br>「神境にて辿る跡」イベントクエストを*話までクリア,획득조건<br>「신의 경지에 도달한 흔적」 이벤트 퀘스트 *화를 클리어
獲得条件<br>チャレンジクエスト「ここは力を合わせよう」をクリア,획득조건<br>챌린지 퀘스트 「여기선 힘을 합치자」를 클리어
風神・雷神スレイヤー,풍신・뇌신 슬레이어
風神・雷神ジェノサイダー,풍신・뇌신 제노사이더
獲得条件<br>フリークエスト「風神・雷神討伐戦」を合計*回クリア,획득조건<br>프리 퀘스트 「풍신・뇌신 토벌전」을 합계 *회 클리어
獲得条件<br>フリークエスト「風神・雷神討伐戦」を合計**回クリア,획득조건<br>프리 퀘스트 「풍신・뇌신 토벌전」을 합계 **회 클리어
獲得条件<br>フリークエスト「風神・雷神討伐戦」を合計***回クリア,획득조건<br>프리 퀘스트 「풍신・뇌신 토벌전」을 합계 ***회 클리어
獲得条件<br>フリークエスト「ゾウティ討伐戦」をクリア,획득조건<br>프리 퀘스트 「조우티 토벌전」을 클리어
獲得条件<br>フリークエスト「風神・雷神討伐戦」をクリア,획득조건<br>프리 퀘스트 「풍신・뇌신 토벌전」을 클리어

「砂神の巫女」へ,「모래신의 무녀」로
砂城の長、ウマルの元に急報が届く。サブル島内で起こる集中豪雨と魔物の被害──<br>ウマルは、その原因は雨神・マナウィダンの封印が解かれたことにあると確信して──,"모래성의 주인, 우마르에게 급보가 도착한다. 사브르 섬 내에서 폭우와 마물의 피해가 급증한다는 것이었다. 우마르는 그 원인이 비의 신 마나위단의 봉인이 풀린 것이라고 확신하는데……"
サイドストーリー「砂神の巫女」で手に入ります,사이드 스토리 「모래신의 무녀」에서 획득할 수 있습니다

獲得条件：「砂神の巫女」貢献度******達成,획득조건：「모래신의 무녀」 공헌도 ****** 달성

間一髪,간발의 차이
獲得条件：「砂神の巫女」ストーリーを*話までクリア,획득조건：「모래신의 무녀」 스토리 *화를 클리어

命懸けの封印,목숨을 건 봉인

マナウィダンバスター,마나위단 버스터
獲得条件：「砂神の巫女」のフリークエストでマナナーンとマナウィダンを合計*体討伐,획득조건：「모래신의 무녀」의 프리 퀘스트에서 마나난과 마나위단을 합계 *체 토벌

至高にして最強の力,최고이자 최강의 힘
獲得条件：フリークエスト「マナウィダン討伐戦」をクリア,획득조건：프리 퀘스트 「마나위단 토벌전」을 클리어
陰謀の涙雨,음모의 눈물비
遊んであげる♪,놀아줄게 ♪
獲得条件<br>「砂神の巫女」貢献度******達成,획득조건<br>「모래신의 무녀」 공헌도 ****** 달성
獲得条件<br>「砂神の巫女」貢献度*******達成,획득조건<br>「모래신의 무녀」 공헌도 ******* 달성
獲得条件<br>「砂神の巫女」ストーリーを*話までクリア,획득조건<br>「모래신의 무녀」 스토리 *화를 클리어
マナウィダンスレイヤー,마나위단 슬레이어
マナウィダンジェノサイダー,마나위단 제노사이더
獲得条件<br>「砂神の巫女」のフリークエストでマナナーンとマナウィダンを合計*体討伐,획득조건<br>「모래신의 무녀」의 프리 퀘스트에서 마나난과 마나위단을 합계 *체 토벌
獲得条件<br>「砂神の巫女」のフリークエストでマナナーンとマナウィダンを合計**体討伐,획득조건<br>「모래신의 무녀」의 프리 퀘스트에서 마나난과 마나위단을 합계 **체 토벌
獲得条件<br>「砂神の巫女」のフリークエストでマナナーンとマナウィダンを合計***体討伐,획득조건<br>「모래신의 무녀」의 프리 퀘스트에서 마나난과 마나위단을 합계 ***체 토벌
獲得条件<br>フリークエスト「マナウィダン討伐戦」をクリア,획득조건<br>프리 퀘스트 「마나위단 토벌전」을 클리어

「剣と脚に想いを乗せて」へ,「검과 다리에 마음을 실어」로
アリーザの母親、アリシアと対面するスタンとアリーザ。緊張した面持ちのスタンはアリシアに対し、意を決して「アリーザとの交際を認めてほしい」と口にする──,"아리사의 어머니, 아리시아와 대면한 스탄과 아리사. 긴장한 표정이 역력한 스탄은 아리시아를 보며 「아리사와 교제를 허락해 주었으면 한다」고 말하는데……"
サイドストーリー「剣と脚に想いを乗せて」で手に入ります,사이드 스토리 「검과 다리에 마음을 실어」에서 획득할 수 있습니다

勇敢なる臆病者,용감한 겁쟁이
獲得条件：「剣と脚に想いを乗せて」貢献度******達成,획득조건：「검과 다리에 마음을 실어」 공헌도 ****** 달성

魔眼を乗り越えし者,마안을 극복한 자
獲得条件：「剣と脚に想いを乗せて」のフリークエスト「カトブレパス討伐戦」をクリア,획득조건：「검과 다리에 마음을 실어」의 프리 퀘스트 「카토블레파스 토벌전」을 클리어

暴虐の竜を屈服せし者,포학한 용을 굴복시킨 자
獲得条件：「剣と脚に想いを乗せて」のフリークエスト「ドゥルジとの戦い」をクリア,획득조건：「검과 다리에 마음을 실어」의 프리 퀘스트 「드루지와의 싸움」을 클리어

炎の格闘家,불꽃의 격투가
獲得条件：チャレンジクエスト「武闘炎舞」をクリア,획득조건：챌린지 퀘스트 「무투염무」를 클리어

疾風の剣閃,질풍의 검섬
獲得条件：「剣と脚に想いを乗せて」のフリークエストでカトブレパスとドゥルジを合計*体討伐,획득조건：「검과 다리에 마음을 실어」의 프리 퀘스트에서 카토블레파스와 두르지를 합계 *체 토벌

黄金の花を守護する者,황금의 꽃을 수호하는 자
獲得条件：「剣と脚に想いを乗せて」ストーリーをエンディングまでクリア,획득조건：「검과 다리에 마음을 실어」의 엔딩을 클리어
交じり合う剣と脚,교차하는 검과 다리
獲得条件<br>「剣と脚に想いを乗せて」貢献度******達成,획득조건<br>「검과 다리에 마음을 실어」 공헌도 ****** 달성
獲得条件<br>「剣と脚に想いを乗せて」貢献度*******達成,획득조건<br>「검과 다리에 마음을 실어」 공헌도 ******* 달성
獲得条件<br>「剣と脚に想いを乗せて」のフリークエスト「カトブレパス討伐戦」をクリア,획득조건<br>「검과 다리에 마음을 실어」의 프리 퀘스트<br>「카토블레파스 토벌전」을 클리어
獲得条件<br>「剣と脚に想いを乗せて」のフリークエスト「ドゥルジとの戦い」をクリア,획득조건<br>「검과 다리에 마음을 실어」의 프리 퀘스트<br>「두르지와의 싸움」을 클리어
獲得条件<br>チャレンジクエスト「武闘炎舞」をクリア,획득조건<br>챌린지 퀘스트 「무투염무」를 클리어
語り継がれる物語,구전되는 이야기
お伽噺の主人公,동화의 주인공
獲得条件<br>「剣と脚に想いを乗せて」のフリークエストでカトブレパスとドゥルジを合計*体討伐,획득조건<br>「검과 다리에 마음을 실어」의 프리 퀘스트에서<br>카토블레파스와 두르지를 합계 *체 토벌
獲得条件<br>「剣と脚に想いを乗せて」のフリークエストでカトブレパスとドゥルジを合計**体討伐,획득조건<br>「검과 다리에 마음을 실어」의 프리 퀘스트에서<br>카토블레파스와 두르지를 합계 **체 토벌
獲得条件<br>「剣と脚に想いを乗せて」のフリークエストでカトブレパスとドゥルジを合計***体討伐,획득조건<br>「검과 다리에 마음을 실어」의 프리 퀘스트에서<br>카토블레파스와 두르지를 합계 ***체 토벌
獲得条件<br>「剣と脚に想いを乗せて」ストーリーをエンディングまでクリア,획득조건<br>「검과 다리에 마음을 실어」의 엔딩을 클리어

「カイオラ」へ,「카이오라」로
氷河に眠る絶品の珍味を求め、極寒のノース・ヴァストにやってきた一行。しかし、珍味に胸を躍らす一行を待っていたのは、外界から隔絶された過酷な漁業生活であった──,"빙하에 잠든 최고의 진미를 찾아 극한의 지역 노스 바스트로 찾아온 일행. 그러나, 진미를 기대하고 온 일행을 기다리고 있던 것은, 바깥세상과 단절된 가혹한 고기잡이 생활이었다……"
サイドストーリー「カイオラ」で手に入ります,사이드 스토리 「카이오라」에서 획득할 수 있습니다

見習い船乗り,견습선원
獲得条件：「カイオラ」貢献度******達成,획득조건：「카이오라」 공헌도 ****** 달성

死の行軍,죽음의 행군
獲得条件：「カイオラ」ストーリーを*話までクリア,획득조건：「카이오라」 스토리 *화를 클리어

旬の幸,제철음식

リヴェンジャーズ,리벤져스
獲得条件：チャレンジクエスト「リベンジマッチ」をクリア,획득조건：챌린지 퀘스트 「리벤지 매치」를 클리어

カニカマ,게맛살
獲得条件：フリークエスト「極北の海での死闘」をクリア,획득조건：프리 퀘스트 「극북의 바다에서의 사투」를 클리어

カニ三昧,게 삼매경
獲得条件：「カイオラ」のフリークエストでノース・ヴァスト・ブラックガニと氷海の覇王を合計*体討伐,획득조건：「카이오라」의 프리 퀘스트에서 노스 바스트 블랙크랩과 빙해의 패왕을 합계 *체 토벌

未経験可！アットホームな職場です,미경력직도 가능！가족같은 직장입니다
獲得条件：フリークエスト「氷海の覇王との戦い」をクリア,획득조건：프리 퀘스트 「빙해의 패왕과의 싸움」을 클리어
同盟罷工,동맹파업
プロレタリアート,노동자
獲得条件<br>「カイオラ」貢献度******達成,획득조건<br>「카이오라」 공헌도 ****** 달성
獲得条件<br>「カイオラ」貢献度*******達成,획득조건<br>「카이오라」 공헌도 ******* 달성
獲得条件<br>「カイオラ」ストーリーを*話までクリア,획득조건<br>「카이오라」 스토리 *화를 클리어
獲得条件<br>チャレンジクエスト「リベンジマッチ」をクリア,획득조건<br>챌린지 퀘스트 「리벤지 매치」를 클리어
獲得条件<br>フリークエスト「極北の海での死闘」をクリア,획득조건<br>프리 퀘스트 「극북의 바다에서의 사투」를 클리어
爆裂暴波圏,폭렬폭파권
どうかしてるぜ,어떻게 된거야
獲得条件<br>「カイオラ」のフリークエストでノース・ヴァスト・ブラックガニと氷海の覇王を合計*体討伐,획득조건<br>「카이오라」의 프리 퀘스트에서 노스 바스트 블랙크랩과 빙해의 패왕을 합계 *체 토벌
獲得条件<br>「カイオラ」のフリークエストでノース・ヴァスト・ブラックガニと氷海の覇王を合計**体討伐,획득조건<br>「카이오라」의 프리 퀘스트에서 노스 바스트 블랙크랩과 빙해의 패왕을 합계 **체 토벌
獲得条件<br>「カイオラ」のフリークエストでノース・ヴァスト・ブラックガニと氷海の覇王を合計***体討伐,획득조건<br>「카이오라」의 프리 퀘스트에서 노스 바스트 블랙크랩과 빙해의 패왕을 합계 ***체 토벌
獲得条件<br>フリークエスト「氷海の覇王との戦い」をクリア,획득조건<br>프리 퀘스트 「빙해의 패왕과의 싸움」을 클리어

「名探偵バロワ」へ,「명탐정 바로와」로
怪盗シャノワールがジュエルリゾートを狙っていると聞き、自称ライバルの探偵バロワと助手サーヤが捜査に訪れる。その中で現れた星晶獣の影に、事件は思わぬ展開を見せ──,"괴도 샤노와르가 쥬얼 리조트를 노린다는 소식을 듣고, 자칭 라이벌인 탐정 바로와와 조수 사야가 수사에 돌입한다. 그 와중에 나타난 성정수의 등장으로 사건은 뜻하지 않은 전개가 펼쳐지는데……"
サイドストーリー「名探偵バロワ」で手に入ります,사이드 스토리 「명탐정 바로와」에서 획득할 수 있습니다

ミステリー好き,미스터리가 좋아
獲得条件：「名探偵バロワ～ジュエルリゾートを奪還せよ～」貢献度******達成,획득조건：「명탐정 바로와～쥬얼 리조트를 탈환하라～」 공헌도 ****** 달성

証拠発見,증거 발견
獲得条件：「名探偵バロワ～ジュエルリゾートを奪還せよ～」ストーリーを*話までクリア,획득조건：「명탐정 바로와～쥬얼 리조트를 탈환하라～」 스토리 *화를 클리어

名探偵,명탐정

な…なんだってーー！！,뭐…뭐라곳！！
獲得条件：謎解きクエスト「暗号を解読せよ」をクリア,획득조건：수수께끼 풀기 퀘스트 「암호를 해독하라」를 클리어

天才ですから,천재니까요
獲得条件：謎解きクエスト「怪盗からの挑戦状」をクリア,획득조건：수수께끼 풀기 퀘스트「괴도의 도전장」을 클리어

私はクリス様の豚です,저는 크리스님의 돼지입니다
獲得条件：チャレンジクエスト”欲望を司る悪魔”をクリア,획득조건：챌린지 퀘스트 ”욕망을 관장하는 악마”를 클리어

マモーナスバスター,맘모나스 버스터
獲得条件：「名探偵バロワ～ジュエルリゾートを奪還せよ～」のフリークエストで機械兵とマモーナスを合計*体討伐,획득조건：「명탐정 바로와～쥬얼 리조트를 탈환하라～」의 프리 퀘스트에서 기계병과 맘모나스를 합계 *체 토벌

強欲の罪,탐욕의 죄
獲得条件：フリークエスト「マモーナス討伐戦」をクリア,획득조건：프리 퀘스트 「맘모나스 토벌전」을 클리어
助手,조수
グラブル知恵袋,그랑블루 꾀주머니
獲得条件<br>「名探偵バロワ～ジュエルリゾートを奪還せよ～」貢献度******達成,획득조건<br>「명탐정 바로와～쥬얼 리조트를 탈환하라～」<br>공헌도 ****** 달성
獲得条件<br>「名探偵バロワ～ジュエルリゾートを奪還せよ～」貢献度*******達成,획득조건<br>「명탐정 바로와～쥬얼 리조트를 탈환하라～」<br>공헌도 ******* 달성
獲得条件<br>「名探偵バロワ～ジュエルリゾートを奪還せよ～」ストーリーを*話までクリア,획득조건<br>「명탐정 바로와～쥬얼 리조트를 탈환하라～」<br>스토리 *화를 클리어
獲得条件<br>謎解きクエスト「暗号を解読せよ」をクリア,획득조건<br>수수께끼 풀기 퀘스트 「암호를 해독하라」를 클리어
獲得条件<br>謎解きクエスト「怪盗からの挑戦状」をクリア,획득조건<br>수수께끼 풀기 퀘스트 「괴도의 도전장」을 클리어
獲得条件<br>チャレンジクエスト”欲望を司る悪魔”をクリア,획득조건<br>챌린지 퀘스트 ”욕망을 관장하는 악마”를 클리어
マモーナススレイヤー,맘모나스 슬레이어
マモーナスジェノサイダー,맘모나스 제노사이더
獲得条件<br>「名探偵バロワ～ジュエルリゾートを奪還せよ～」のフリークエストで機械兵とマモーナスを合計*体討伐,획득조건<br>「명탐정 바로와～쥬얼 리조트를 탈환하라～」의 프리<br>퀘스트에서 기계병과 맘모나스를 합계 *체 토벌
獲得条件<br>「名探偵バロワ～ジュエルリゾートを奪還せよ～」のフリークエストで機械兵とマモーナスを合計**体討伐,획득조건<br>「명탐정 바로와～쥬얼 리조트를 탈환하라～」의 프리<br>퀘스트에서 기계병과 맘모나스를 합계 **체 토벌
獲得条件<br>「名探偵バロワ～ジュエルリゾートを奪還せよ～」のフリークエストで機械兵とマモーナスを合計***体討伐,획득조건<br>「명탐정 바로와～쥬얼 리조트를 탈환하라～」의 프리<br>퀘스트에서 기계병과 맘모나스를 합계 ***체 토벌
獲得条件<br>フリークエスト「マモーナス討伐戦」をクリア,획득조건<br>프리 퀘스트 「맘모나스 토벌전」을 클리어

「とりまトッポブで。」へ,「일단은 펍으로」로
ポート・ブリーズ群島のとある喫茶店、かつての溜まり場で他愛ない話を続ける陽気な三人組の青年達。「突発的なポート・ブリーズ」で、青年達は何を想い、何を語るのか。,"포트・브리즈 군도의 어느 카페 과거의 아지트에서 쓸데없는 이야기를 나누는 쾌활한 삼인조 청년들. 「돌발적인 포트・브리즈」에서 청년들은 어떤 생각을 하고, 어떤 대화를 나누는가"
サイドストーリー「とりまトッポブで。」で手に入ります,사이드 스토리 「일단은 펍으로」에서 획득할 수 있습니다

イモヤロウ,감자짜식
獲得条件：山盛りポテトを累計で***個入手,획득조건：수북한 감자튀김을 누계 ***개 획득

ガチでエグめの,레알로 쩔어
獲得条件：メガジャンボパフェを累計で***個入手,획득조건：메가 점보 파르페를 누계 ***개 획득

嵐の転校生,폭풍의 전학생
獲得条件：「とりまトッポブで。」貢献度******達成,획득조건：「일단은 펍으로」 공헌도 ****** 달성

副会長,부회장
獲得条件：「とりまトッポブで。」ストーリーを*話までクリア,획득조건：「일단은 펍으로」 스토리 *화를 클리어

KIBASENだッ！,GIMAJEON이다！

ウェーイ！,웨이！
獲得条件：「とりまトッポブで。」のフリークエストで発注ミスとキャタピラさんを合計*体討伐,획득조건：「일단은 펍으로」의 프리 퀘스트에서 주문 실수와 캬타피라씨를 합계 *체 토벌

ガガ……ピー……,가각……삐잇……
獲得条件：フリークエスト「キャタピラさんとの戦い」をクリア,획득조건：프리 퀘스트 「캬타피라씨와의 싸움」을 클리어

リスペクト・フォー・マジ,리스펙트・For・진짜로
獲得条件：チャレンジクエスト「愛を懸けた死闘」をクリア,획득조건：챌린지 퀘스트 「사랑을 건 사투」을 클리어
獲得条件<br>山盛りポテトを累計で***個入手,획득조건<br>수북한 감자튀김 ***개 획득
獲得条件<br>メガジャンボパフェを累計で***個入手,획득조건<br>메가 점보 파르페 ***개 획득
フーちゃん親衛隊,프쨩 친위대
ゆぐゆぐ,유그유그
獲得条件<br>「とりまトッポブで。」貢献度******達成,획득조건<br>「일단은 펍으로」 공헌도 ****** 달성
獲得条件<br>「とりまトッポブで。」貢献度*******達成,획득조건<br>「일단은 펍으로」 공헌도 ******* 달성
獲得条件<br>「とりまトッポブで。」ストーリーを*話までクリア,획득조건<br>「일단은 펍으로」 스토리 *화를 클리어
久々にキレちまったぜ,간만에 꼴받았다고
ア・イ・シ・テ・ル,좋・아・한・다・구
獲得条件<br>「とりまトッポブで。」のフリークエストで発注ミスとキャタピラさんを合計*体討伐,획득조건<br>「일단은 펍으로」의 프리 퀘스트에서 주문 실수와<br>캬타피라씨를 합계 *체 토벌
獲得条件<br>「とりまトッポブで。」のフリークエストで発注ミスとキャタピラさんを合計**体討伐,획득조건<br>「일단은 펍으로」의 프리 퀘스트에서 주문 실수와<br>캬타피라씨를 합계 **체 토벌
獲得条件<br>「とりまトッポブで。」のフリークエストで発注ミスとキャタピラさんを合計***体討伐,획득조건<br>「일단은 펍으로」의 프리 퀘스트에서 주문 실수와<br>캬타피라씨를 합계 ***체 토벌
獲得条件<br>フリークエスト「キャタピラさんとの戦い」をクリア,획득조건<br>프리 퀘스트 「캬타피라씨와의 싸움」을 클리어
獲得条件<br>チャレンジクエスト「愛を懸けた死闘」をクリア,획득조건<br>챌린지 퀘스트 「사랑을 건 사투」를 클리어

「フォール・オブ・ドラゴン」へ,「폴 오브 드래곤」으로
霧が深くかかる古島メドヴェキア。その島に住むとある少女は病に苦しむ友達を救うために、一度も行ったことのない島の外へと足を踏み出すのだった──,"안개가 짙게 낀 오래된 섬 매드베키아. 그 섬에 사는 한 소녀는 병으로 고통받는 친구를 구하기 위해, 한번도 가본 적 없는 섬 밖으로 발을 내딛는다"
サイドストーリー「フォール・オブ・ドラゴン」で手に入ります,사이드 스토리 「폴 오브 드래곤」에서 획득할 수 있습니다

古島の調査隊,오래된 섬의 조사대
獲得条件：「フォール・オブ・ドラゴン」貢献度******達成,획득조건：「폴 오브 드래곤」 공헌도 ****** 달성

孤独な偶像,고독한 우상
獲得条件：「フォール・オブ・ドラゴン」ストーリーを*話までクリア,획득조건：「폴 오브 드래곤」 스토리 *화를 클리어

光在るところ影在り,빛이 있는 곳에 그림자가 있으리

けんぞくぅ,권속
獲得条件：チャレンジクエスト「吸血姫と覚醒の飛竜」をクリア,획득조건：챌린지 퀘스트 「흡혈공주와 각성의 비룡」을 클리어

ピンクのおでぶちゃん,핑크 뚱보쨩
獲得条件：ベスにごはんと竜の実を与えて成熟させる,획득조건：베스에게 밥과 용의 열매를 주고 성장시킨다

ヴェセラゴバスター,베세라고 버스터
獲得条件：「フォール・オブ・ドラゴン」のフリークエストでクレイゴーレムとヴェセラゴを合計*体討伐,획득조건：「폴 오브 드래곤」의 프리 퀘스트에서 클레이 골렘과 베세라고를 합계 *체 토벌

TKG,날계란밥
