orig,kr
トレジャーを集めるには？,트레저를 모으려면?
ジータちゃんがふと気になった曜日クエストとは……,지타짱이 문득 신경쓰게된 요일퀘스트란...
討滅戦に挑戦しよう！,토벌전에 도전해보자!
「討滅戦」に挑戦するジータちゃんを待ち受ける強敵とは……,「토벌전」에 도전하는 지타짱을 기다리는 강적이란...
セラフィックウェポンって？,세라픽 웨폰이 뭐야?
初心者から上級者まで、誰でも使える「セラフィックウェポン」を紹介！,초심자부터 상급자까지、누구나 사용하는 「세라픽웨폰」을 소개!
シナリオイベントを遊ぼう！,시나리오 이벤트를 즐기자!
初心者でもお得で楽しめる「シナリオイベント」についてご紹介！,초심자라도 유익하게 즐길 수 있는 「시나리오 이벤트」에 대해 소개!
「四象降臨」を遊ぼう！,「사상강림」을 즐기자!
超貴重アイテム「ヒヒイロカネ」が手に入る四象降臨について解説！,초중요아이템 「히히이로카네」를 얻을 수 있는 사상강림에 대해서 설명!


!7주년 이벤트 티저
調査記録,조사기록
調査資料を閲覧する,조사자료를 열람한다
この記録を確認する,이 기록을 확인한다
組織,조직
敵,적
空の民,하늘의 민족
月の民,달의 민족
*thAnniversary前夜祭スタンプログインキャンペーンの報酬です。,*th Anniversary 전야제 스탬프 로그인 캠페인의 보상입니다.

!7주년 기념 로그인
*周年記念ログインボーナスとして,*주년 기념 로그인 보너스로
*th アニバーサリーガチャチケットが,*th 애니버서리 가챠 티켓이
プレゼントリストに送られました。,선물 리스트로 보내졌습니다.
私達の冒険が、,"우리의 모험이,"
なんとなんと７周年ですよ！,어느새 7주년이에요！
とっても素敵な記念日なので、,굉장히 멋진 기념일이니까
プレゼントです！,선물이에요！
今までいろいろあったよな……,지금까지 여러가지 있었지……
オイラも旅の中で、,"나도 여행중에,"
結構成長したんだぜ！,꽤 성장했다구！
たとえば……,예를 들면……
ウマいリンゴを置いてる果物屋を,맛있는 사과를 파는 과일가게를
見分けられるようになったりな！,알아볼 수 있게 되었다거나！
ふふっ、大事ですよね！,"후훗, 중요하지요！"
私も美味しいご飯のお店は,저도 맛있는 음식점은
すぐ分かるようになりました！,바로 알아보게 되었어요！
他にも色々あるけど、,말고도 여러 가지 있겠지만.
これからも色んなことを,앞으로도 여러가지를
身につけていかねぇとな！,익혀 가자구！
はい、頑張りましょう！,"네, 힘네요!"
えい、えい、おー！,아자 아자 화이팅！

十天衆の皆さんから,십천중 모두로부터
お祝いの花束が届いてます！,축하 꽃다발이 왔어요!
包み紙のデザインが,포장지 디자인이
十天衆のマントとお揃いですね！,십천중의 망토와 짝이네요!
とっても可愛いです～！,너무 귀여워요~!
こっちは押し花の栞だぜ。,이쪽은 압화책갈피야.
ムゲンが星屑の街のヤツらと,무겐이 별조각 마을의 녀석들과
作ってくれたんだってよ！,만들어줬대!
わぁ、とっても素敵です！,"와, 정말 멋져요!"
ムゲンさんが楽しく過ごせていて,무겐씨가 즐겁게 지내고 있어서
良かったです～！,다행이네요~!
それから、星屑の街といえば,"그리고, 별조각 마을이라고 하면"
目ん玉姉ちゃんの,눈망울이 큰 누님의
プレゼントも届いてたな！,선물도 왔다구!
見ろよこれ、昨日買い出し中に,"이거 봐, 어제 장보던 중에"
[플레이어]がウマそうだって,[플레이어]가 맛있어 보인다고
言ってたお菓子だぜ！,말했던 과자라구!
はわわ～……すごいです！,하와와～...... 대단해요!
やっぱりレイさんは,역시 레이 씨는
全部お見通しなんですね！,전부 꿰뚫어보셨군요!

なぁ、あっちの部屋で,"있잖아, 저쪽 방에서"
アルタイルが難しい顔,알타이르이 심각한 표정
してるんだけどよぉ。,하고있던데..
アイツ、今度はどんな戦の,"그녀석, 이번엔 어떤 전투의"
指揮を任されてんだ？,지휘를 맡고 있는 거야?
ふふっ、違いますよビィさん！,"후훗, 아니에요 비씨!"
アルタイルさんが指揮するのは,알타이르 씨가 지휘하는 건
お祝いのパーティーです！,축하 파티예요!
「祝賀の席に相応しい,「축하 자리에 어울리는
最高の策を献じます」って、,"최고의 방책을 준비하겠습니다」라고,"
張り切ってくれているんですよ！,집중하고 있다구요!
なるほどなぁ！　もしかして、,"그렇구나! 혹시,"
スツルムとドランクが持ってきた,슈트름과 드랑가 가져왔던
でっけぇ荷物もそのためか？,짱 큰 짐도 그것 때문인가?
作戦内容は明かせないって,작전 내용은 밝힐 수 없다고
教えてくれませんでしたけど……,가르쳐주지 않았지만……
きっとそうですね！,분명 그렇겠네요!
ははっ、サプライズだもんな！,"하핫, 서프라이즈니까말이지!"
オイラ達は大人しく、,"우리들은 얌전히,"
種明かしを待ってようぜ！,어떻게 나올지 기다리자구!

みや里から、樹クラゲのおスシが,미야자토에서 해파리 스시가
たくさん届きましたよ！,많이 도착했어요!
すっげぇウマそうだぞ！,엄청 맛있어 보이네!
きっと大食い大会のときみたいに,"분명, 많이 먹기 대회 때처럼"
パーティーが盛り上がるぜ！,파티가 달아오를거야!
盛り上がるといえば、,"달아오른다고하면 또,"
アオイドスさんがお祝いの,아오이도스씨가 축하의
新曲を作ってくれてるんですよ。,신곡을 만들어주고 있어요.
私も誘われて、,"저도 같이 하자고해서,"
一緒に歌わせてもらうんです！,함께 부르게 됐어요!
DOSS（ドッスィズ）として,DOSS (돗쉬즈)로서
パーティーで披露するから、,"파티에서 공연할 거니까,"
楽しみにしててくれよな！,기대해줘!

お、おい……,"어, 어이……"
なんか向こうから、,"뭔가 저쪽에서,"
すげぇ唸り声が聞こえねぇか？,엄청나게 으르렁대는 소리 안 들려?
えっと……あれは,음...이건
ウルスラさんとさっちゃんの,우르슬라씨와 삿짱의
声ですね！,소리네요!
メルゥさんとメグさん、,"메루씨와 메구씨,"
仲良しさんになったみたいで……,좋은 친구가 된 것 같아서……
一緒に飾り付けしてるんです！,같이 꾸미고 있는 거예요!
へぇ～そうなのか。,헤에~ 그런거였나.
おんなじ猛獣使い同士、,같은 맹수꾼끼리
意気投合してたりするのか？,의기투합하고 그런 건가?
そうかもしれません。,그럴거 같네요.
クフアの人達は、サメもあんまり,"쿠푸아 사람들은, 상어도 별로"
怖がらなさそうですし……,무서워하지 않을 것 같고……
ネモ姉やフェルルカさんも、,네모누나나 페루루카씨도
ウルスラさんと会ったら,우르슬라 언니랑 만나면
仲良くなれるんでしょうか？,친해질 수 있을까요?
うーん……ネモ姉はいけても、,"음......네모언니는 괜찮아도,"
フェルルカはまた,페루루카는 또
気絶しちまうと思うけどなぁ……,기절해 버릴거같은데……

昨日のパーティー、,"어제 파티,"
とっても楽しかったですね！,정말 즐거웠어요!
そうだな！,그랬지!
それにしても、[플레이어]が,"그나저나, [플레이어]가"
舞台に上がったときは驚いたぜ！,무대에 올랐을 때는 놀랐다구!
ロミオさんが[플레이어],로미오씨가 [플레이어]
主役に書いてくれた戯曲、,"주연으로 써준 희곡,"
とっても素敵なお話でした！,정말 멋진 이야기였어요!
ミレイユとリゼットも,밀레이유와 리제트도
色々準備を手伝ってくれて、,"이런저런 준비를 도와줘서,"
すっげぇ助かったよな！,엄청나게 도움되었지!
なぁなぁ、後でアイツらも,"있잖아, 나중에 그녀석도"
誘って二次会しねぇか？,꼬셔서 2차 안할래?
賛成です！,찬성이에요!
カリオストロさん達も呼んで、,"칼리오스트로씨 일행도 불러서,"
わいわいやりましょう！,시끌벅적 하게 놀아요!

ガウェインさんが、,가웨인 님이
ダルモアからのお手紙とお紅茶を,달모아에서 온 편지와 홍차를
持ってきてくれました！,갖다주셨어요!
フロレンスからだな！,플로렌스가 보내줬구나!
またいつでも遊びに来てくれって,또 언제라도 놀러와 달라고
手紙に書いてあるぜ！,편지에 적혀있어!
そうだ！　今度行くときは,그래요! 다음에 갈때는
パーシヴァルさん達も一緒に,퍼시벌 오빠들과도
誘ってみませんか？,같이 가볼까요?
トサカの兄ちゃんの兄ちゃんは、,"닭벼슬 형씨는,"
ガウェイン達の,가웨인 일행의
古い友達なんだよな。,오랜 친구였지.
どうせならアグロヴァルも,이왕이면 아그로발도
連れていって、あの兄弟の,"데려가서, 그 형제의"
昔の話とか聞いてみたいぜ！,옛날 이야기라든지 들어보고 싶네!
ふふっ、それじゃあ,"후훗, 그럼"
後でパーシヴァルさんに,나중에 퍼시벌 씨한테
聞いてみましょう！,물어봐요!

遊びに来てくれたマリエさんから、,"놀러와준 마리에씨로부터,"
贈り物を預かってきました！,선물을 받아왔어요!!
テツロウちゃんも一緒ですよ！,테츠로우도 같이 있었어요!
オイラ、ちょっと一緒に,"나도, 잠깐 같이"
遊んできたんだ。,놀다 왔어.
シンシャ達も居合わせてさ。,신샤 일행도 같이 있더라구.
アイツ、ネクタルやウグスに,"그녀석, 넥타르 랑 우구스에게"
興味津々だったんだぜ。,흥미진진하더군.
ウグスさんがテツロウちゃんのこと,우구스씨가 테츠로우를
ぷにぷに！ って言ってて,볼 말랑말랑! 이라면서
楽しそうに仲良くしてましたね！,"즐거운 듯, 사이좋게 지냈었죠!"
[플레이어]も後で,[플레이어]도 나중에
顔出してやれよな！,얼굴 비쳐줘!

お祝いのプレゼントも、,축하 선물도
今日で最後です！,오늘로 마지막이에요!
いいものがもらえますように！,좋은 걸 받을 수 있길!
十二神将のヤツらからも、,십이신장 녀석들로부터도
８年目に向けてって,8년째를 향해서라며
プレゼントが届いてるぜ！,선물이 도착했어!
大きなチーズケーキですよ！,큰 치즈케이크에요!
十二神将の皆さんで,십이신장 모두가 함께
作ってくれたそうです。,만들어줬다고 해요.
シャトラの家の牛乳と、,샤토라네 집 우유랑
ビカラが厳選したチーズが,비카라가 엄선한 치즈가
材料なんだってよ！,재료라는데!
はわわ～美味しそうな匂いです！,하와와~ 맛있는 냄새가 나요!
きっと食べたら、,"먹으면 분명,"
とっても元気になりますよ！,아주 건강해질거에요!
へへっ、このケーキ食べて,"헤헷, 이 케이크 먹고"
今年一年も頑張ろうぜ！,올 한해도 힘내자!
エキセントリックパレード,익센트릭 퍼레이드
みたいに、,"처럼,"
キラキラの一年にしましょう！,반짝반짝한 한 해를 보내요!


!스크래치
*th Anniversaryキャンペーン,*th Anniversary 캠페인
"シェロカルテから<br><span style=""color: #ffff**;"">*th Anniversary記念コイン</span>が<br>贈られました。<br><br>特設ページからスクラッチに挑戦しよう！","셰로카르테로부터<br><span style=""color: #ffff**;"">*th Anniversary 기념 코인</span>이<br>도착했습니다<br><br>특설 페이지에서 스크래치에 도전해봅시다！"
*th Anniversary記念コイン,*th Anniversary 기념 코인
特設ページへ,특설페이지
好きなトコから削ってくれよな！,원하는 부분부터 지워봐 !
*つ揃うとアイテムが貰えるぜ！,*개 모으면 그걸 받을 수 있어 !
おっ！ リーチになったぜ！,오옷！ 리치됐어！ 
ドキドキするなぁ！,두근두근하네!
やったな！アイテムゲットだ！,좋았어! 아이템 획득이야!
よろず屋に感謝しねえとな！,만물상에게 고맙다고하자구!
当選アイテム,당첨 아이템
スクラッチ履歴,스크래치 내역
*th Anniversaryスクラッチへ,*th Anniversary 스크래치로
*th Anniversaryスクラッチ,*th Anniversary 스크래치


!브레이브 그라운드
ブレイブポイント,브레이브 포인트
与ダメージ,가한 데미지
行動評価,행동평가
召喚発動,소환발동
*ターン以内クリア,*턴 이내 클리어
*キャラ生存,*캐릭터 생존
<ul>		<li>本バトルには、倒すことが出来ない敵が出現する場合があります。</li>		<li>バトルを終了する場合は、MENUから「撤退」を実行してください。</li>		<li>本バトルでは、アイテム・経験値・ルピを入手することはできません。</li>	</ul>,<ul>		<li>본 배틀에는、쓰러뜨릴 수 없는 적이 출현하는 경우가 있습니다.</li>		<li>배틀을 종료하는 경우에는、MENU에서「철퇴」를 실행해주세요.</li>		<li>이 배틀에서는、아이템・경험치・루피를 입수할 수 없습니다.</li>	</ul>
合計 <span>*******</span> pt 獲得しました！,합계 <span>*******</span> pt 획득했습니다！
合計 <span>******</span> pt 獲得しました！,합계 <span>******</span> pt 획득했습니다！
合計 <span>*****</span> pt 獲得しました！,합계 <span>*****</span> pt 획득했습니다！
合計 <span>****</span> pt 獲得しました！,합계 <span>****</span> pt 획득했습니다！



!할로윈 이벤트 퀘스트
いとし、たのしき、お菓子と拳,"귀여움, 즐거움, 과자와 주먹"
"<div class=""txt-escort-comment"">ハロウィンの夜、グランサイファーの団員たち<br>がハロウィンのお祭りを楽しんでいると──<br><br><font size=""*"" color=""#FFFF*F"">初回クリアで「ハロウィンキャラ解放武器</font><br><font size=""*"" color=""#FFFF*F"">確定ガチャチケット」を獲得！</font></div>","<div class=""txt-escort-comment"">할로윈 밤, 그랑사이퍼의 단원들이<br>할로윈 축제를 즐기고 있는데...<br><br><font size=""*"" color=""#FFFF*F"">초회 클리어로<br>「할로윈 캐릭터 해방 무기</font><br><font size=""*"" color=""#FFFF*F"">확정 가챠 티켓」을 획득！</font></div>"
「ハロウィン・ナイト」へ,「할로윈 나이트」로
ハロウィン・ナイト,할로윈 나이트

!가챠핀 선물 이벤트
キャンペーン特別プレゼント,캠페인 특별 선물
"ゆく年くる年キャンペーン開催中！<br><span class=""green"">ガチャピン</span>と<span class=""red"">ムック</span>から<br>特別プレゼント！","가는 해 오는 해 캠페인 진행 중！<br><span class=""green"">가챠핀</span>과 <span class=""red"">무크</span>의<br>특별 선물！"
※アイテムはプレゼントリストに送られました,※아이템은 선물 리스트에 보내졌습니다
